epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3095.38,0.88768,2.10783,0.6639,1.11732,0.80197,0.62045,0.72106,0.45628,0.80476,0.57652,0.66562,0.3421,1.2992,2.89196,0.97079,1.4391,0.0003368,0.0003368,0.0003368
86,3131.32,0.90312,2.15122,0.67347,1.12593,0.82392,0.62033,0.72248,0.46125,0.80143,0.58561,0.66665,0.34644,1.29647,2.86432,0.93945,1.43934,0.000317,0.000317,0.000317
87,3167.29,0.90192,2.1438,0.66702,1.11591,0.82785,0.62121,0.72346,0.46719,0.80976,0.59976,0.6707,0.35062,1.28523,2.84731,0.94928,1.42449,0.0002972,0.0002972,0.0002972
88,3203.94,0.89007,2.1268,0.66699,1.12016,0.77323,0.64697,0.72152,0.46046,0.79245,0.59848,0.66974,0.34875,1.29679,2.87248,0.93673,1.43532,0.0002774,0.0002774,0.0002774
89,3240.11,0.88139,2.09337,0.66101,1.11713,0.8164,0.6197,0.72617,0.46324,0.80541,0.58939,0.6683,0.34872,1.29439,2.87819,0.94019,1.43415,0.0002576,0.0002576,0.0002576
90,3276,0.86614,2.09582,0.65216,1.1096,0.81374,0.63878,0.73114,0.4641,0.79069,0.61245,0.67174,0.35223,1.30109,2.86533,0.92785,1.44097,0.0002378,0.0002378,0.0002378
91,3337.71,0.85374,2.06641,0.59725,1.11206,0.78517,0.63406,0.72108,0.46331,0.80088,0.59111,0.66642,0.34595,1.2903,2.88549,0.93807,1.44413,0.000218,0.000218,0.000218
92,3373.53,0.82784,2.0207,0.57496,1.09606,0.78719,0.63052,0.72188,0.46569,0.82161,0.57348,0.66521,0.34837,1.29572,2.88044,0.94429,1.44671,0.0001982,0.0001982,0.0001982
93,3409.2,0.82027,2.01441,0.55642,1.0904,0.83229,0.60985,0.72296,0.46551,0.83616,0.57576,0.66679,0.34863,1.2969,2.91568,0.94905,1.44791,0.0001784,0.0001784,0.0001784
94,3445.44,0.82105,2.00638,0.54941,1.09029,0.8466,0.60208,0.72134,0.46438,0.84117,0.57372,0.66349,0.34783,1.29652,2.91437,0.94455,1.44249,0.0001586,0.0001586,0.0001586
95,3481.31,0.80059,1.98844,0.54189,1.07743,0.8252,0.6187,0.72247,0.46367,0.83945,0.57041,0.66911,0.34938,1.30438,2.91554,0.95011,1.45783,0.0001388,0.0001388,0.0001388
96,3517.18,0.79995,1.97557,0.53428,1.0787,0.81743,0.62073,0.72075,0.46405,0.83057,0.57424,0.66078,0.34949,1.30589,2.91845,0.9648,1.45655,0.000119,0.000119,0.000119
97,3553.13,0.79255,1.97994,0.53891,1.07101,0.80509,0.63525,0.72179,0.46096,0.82722,0.5803,0.66423,0.35022,1.31059,2.93302,0.96545,1.46319,9.92e-05,9.92e-05,9.92e-05
98,3588.62,0.77929,1.9763,0.52358,1.06992,0.80583,0.62727,0.72005,0.45986,0.82771,0.57867,0.66293,0.34896,1.31012,2.94894,0.95928,1.46639,7.94e-05,7.94e-05,7.94e-05
99,3623.99,0.79187,1.98039,0.52931,1.07652,0.80326,0.63106,0.7175,0.45943,0.82501,0.57879,0.6605,0.34954,1.30818,2.94477,0.96154,1.46566,5.96e-05,5.96e-05,5.96e-05
100,3659.82,0.77924,1.9505,0.51971,1.06458,0.79217,0.63864,0.7211,0.46259,0.82852,0.58198,0.66457,0.35082,1.30411,2.94589,0.95611,1.4628,3.98e-05,3.98e-05,3.98e-05
